red_fighter_name;blue_fighter_name;event_date;red_fighter_total_pts;blue_fighter_total_pts
POLIANA BOTELHO;LUANA CAROLINA;01/05/2021;29 28 28;28 29 29
KAI KAMAKA;TJ BROWN;01/05/2021;28 28 30;29 29 27
MERAB DVALISHVILI;CODY STAMANN;01/05/2021;30 29 29;27 28 28
RANDA MARKOS;LUANA PINHEIRO;01/05/2021;- - -;- - -
ANDREAS MICHAILIDIS;KB BHULLAR;01/05/2021;29 30 30;28 27 27
LOMA LOOKBOONMEE;SAM HUGHES;01/05/2021;29 29 29;28 28 28
LUKE SANDERS;FELIPE COLARES;01/05/2021;28 28 28;29 29 29
GIGA CHIKADZE;CUB SWANSON;01/05/2021;- - -;- - -
DOMINICK REYES;JIRI PROCHAZKA;01/05/2021;9 9 9;10 10 10
ION CUTELABA;DUSTIN JACOBY;01/05/2021;28 29 28;29 28 28
SEAN STRICKLAND;KRZYSZTOF JOTKO;01/05/2021;30 29 30;27 28 27
SEAN STRICKLAND;PAULO COSTA;01/06/2024;49 50 46;46 45 49
KEVIN HOLLAND;MICHAL OLEKSIEJCZUK;01/06/2024;- - -;- - -
MITCH RAPOSO;ANDRE LIMA;01/06/2024;27 27 29;30 30 28
PHIL ROWE;JAKE MATTHEWS;01/06/2024;28 27 28;29 30 29
GRANT DAWSON;JOE SOLECKI;01/06/2024;29 30 30;28 27 27
MICKEY GALL;BASSIL HAFEZ;01/06/2024;27 27 28;30 30 29
AILIN PEREZ;JOSELYNE EDWARDS;01/06/2024;29 29 30;28 28 27
ISLAM MAKHACHEV;DUSTIN POIRIER;01/06/2024;39 39 38;37 37 38
JAILTON ALMEIDA;ALEXANDR ROMANOV;01/06/2024;- - -;- - -
CESAR ALMEIDA;ROMAN KOPYLOV;01/06/2024;28 27 29;29 30 28
NIKO PRICE;ALEX MORONO;01/06/2024;29 29 29;28 28 28
RANDY BROWN;ELIZEU ZALESKI DOS SANTOS;01/06/2024;29 29 29;28 28 28
ARIANE DA SILVA;MELISSA GATTO;01/07/2023;28 30 29;29 27 28
MAX GRIFFIN;MICHAEL MORALES;01/07/2023;28 28 28;29 29 29
BRUNNO FERREIRA;NURSULTON RUZIBOEV;01/07/2023;- - -;- - -
ISMAEL BONFIM;BENOIT SAINT DENIS;01/07/2023;- - -;- - -
KEVIN LEE;RINAT FAKHRETDINOV;01/07/2023;- - -;- - -
SEAN STRICKLAND;ABUS MAGOMEDOV;01/07/2023;9 9 9;10 10 10
DAMIR ISMAGULOV;GRANT DAWSON;01/07/2023;26 27 27;30 30 30
JOANDERSON BRITO;WESTIN WILSON;01/07/2023;- - -;- - -
ALEXANDR ROMANOV;BLAGOY IVANOV;01/07/2023;30 30 30;27 27 27
IVANA PETROVIC;LUANA CAROLINA;01/07/2023;28 28 28;29 29 29
YANA SANTOS;KAROL ROSA;01/07/2023;29 28 28;28 29 29
GURAM KUTATELADZE;ELVES BRENER;01/07/2023;20 20 20;18 18 18
ILIR LATIFI;ALEKSEI OLEINIK;01/10/2022;30 30 30;27 27 27
JOAQUIM SILVA;JESSE RONSON;01/10/2022;10 10 10;9 9 9
JOHN CASTANEDA;DANIEL SANTOS;01/10/2022;10 10 10;9 9 9
GUIDO CANNETTI;RANDY COSTA;01/10/2022;- - -;- - -
MIKE DAVIS;VIACHESLAV BORSHCHEV;01/10/2022;29 30 30;28 26 26
KRZYSZTOF JOTKO;BRENDAN ALLEN;01/10/2022;- - -;- - -
RAONI BARCELOS;TREVIN JONES;01/10/2022;30 30 30;25 27 27
SODIQ YUSUFF;DON SHAINIS;01/10/2022;- - -;- - -
JULIJA STOLIARENKO;CHELSEA CHANDLER;01/10/2022;- - -;- - -
MACKENZIE DERN;YAN XIAONAN;01/10/2022;47 47 47;48 48 47
RANDY BROWN;FRANCISCO TRINALDO;01/10/2022;29 29 29;28 28 28
CHRISTIAN LEROY DUNCAN;CLAUDIO RIBEIRO;02/03/2024;10 10 10;9 9 9
LUDOVIT KLEIN;AJ CUNNINGHAM;02/03/2024;- - -;- - -
ABDUL-KAREEM AL-SELWADY;LOIK RADZHABOV;02/03/2024;19 19 19;19 19 19
VINICIUS OLIVEIRA;BENARDO SOPAJ;02/03/2024;19 19 19;19 19 19
JAIRZINHO ROZENSTRUIK;SHAMIL GAZIEV;02/03/2024;38 39 40;38 37 36
VITOR PETRINO;TYSON PEDRO;02/03/2024;30 30 29;27 27 28
AIEMANN ZAHABI;JAVID BASHARAT;02/03/2024;29 29 29;28 28 28
ERYK ANDERS;JAMIE PICKETT;02/03/2024;29 29 29;27 28 28
MATT SCHNELL;STEVE ERCEG;02/03/2024;9 9 9;10 10 10
UMAR NURMAGOMEDOV;BEKZAT ALMAKHAN;02/03/2024;30 30 30;25 26 26
ALEX PEREZ;MUHAMMAD MOKAEV;02/03/2024;28 28 28;29 29 29
ALEXANDER VOLKANOVSKI;MAX HOLLOWAY;02/07/2022;50 50 50;45 45 45
ISRAEL ADESANYA;JARED CANNONIER;02/07/2022;49 50 49;46 45 46
JESSICA EYE;MAYCEE BARBER;02/07/2022;28 28 27;29 29 30
JESSICA-ROSE CLARK;JULIJA STOLIARENKO;02/07/2022;- - -;- - -
SEAN STRICKLAND;ALEX PEREIRA;02/07/2022;- - -;- - -
URIAH HALL;ANDRE MUNIZ;02/07/2022;27 27 27;30 30 30
BRAD TAVARES;DRICUS DU PLESSIS;02/07/2022;28 28 28;29 29 29
ROBBIE LAWLER;BRYAN BARBERENA;02/07/2022;10 9 10;9 10 9
MICHELLE WATERSON-GOMEZ;SEAN O'MALLEY;02/07/2022;10 10 9;9 9 10
BRAD RIDDELL;JALIN TURNER;02/07/2022;- - -;- - -
IAN MACHADO GARRY;GABE GREEN;02/07/2022;30 30 30;27 27 27
JIM MILLER;DONALD CERRONE;02/07/2022;10 10 9;9 9 10
FARID BASHARAT;KLEYDSON RODRIGUES;02/09/2023;- - -;- - -
ZARAH FAIRN;JACQUELINE CAVALCANTI;02/09/2023;27 27 27;30 30 30
MORGAN CHARRIERE;MANOLO ZECCHINI;02/09/2023;- - -;- - -
TAYLOR LAPILUS;CAOLAN LOUGHRAN;02/09/2023;29 29 29;28 28 28
NORA CORNOLLE;JOSELYNE EDWARDS;02/09/2023;30 30 29;27 27 28
CIRYL GANE;SERGHEI SPIVAC;02/09/2023;10 10 10;9 9 9
ANGE LOOSA;RHYS MCKEE;02/09/2023;30 29 29;27 28 28
VOLKAN OEZDEMIR;BOGDAN GUSKOV;02/09/2023;- - -;- - -
WILLIAM GOMIS;YANIS GHEMMOURI;02/09/2023;20 20 20;18 18 18
BENOIT SAINT DENIS;THIAGO MOISES;02/09/2023;10 10 10;9 9 9
MANON FIOROT;ROSE NAMAJUNAS;02/09/2023;29 29 30;28 28 27
THIAGO SANTOS;JOHNNY WALKER;02/10/2021;48 48 48;47 47 47
ALEJANDRO PEREZ;JOHNNY EDUARDO;02/10/2021;9 9 9;10 10 10
BETHE CORREIA;KAROL ROSA;02/10/2021;27 26 27;30 30 30
KEVIN HOLLAND;KYLE DAUKAUS;02/10/2021;- - -;- - -
ALEX OLIVEIRA;NIKO PRICE;02/10/2021;28 28 28;29 29 29
DEVONTE SMITH;JAMIE MULLARKEY;02/10/2021;10 10 10;9 9 9
ALEXANDER HERNANDEZ;MIKE BREEDEN;02/10/2021;- - -;- - -
STEPHANIE EGGER;SHANNA YOUNG;02/10/2021;10 10 10;9 9 9
DOUGLAS SILVA DE ANDRADE;GAETANO PIRRELLO;02/10/2021;- - -;- - -
MISHA CIRKUNOV;KRZYSZTOF JOTKO;02/10/2021;28 29 28;29 28 29
JOE SOLECKI;JARED GORDON;02/10/2021;29 28 28;28 29 29
ANTONINA SHEVCHENKO;CASEY O'NEILL;02/10/2021;9 9 9;10 10 10
JACK SHORE;YOUSSEF ZALAL;02/11/2024;9 9 9;10 10 10
ALEXANDR ROMANOV;RODRIGO NASCIMENTO;02/11/2024;30 30 30;27 27 27
JAMEY-LYN HORTH;IVANA PETROVIC;02/11/2024;30 29 28;27 28 29
CHAD ANHELIGER;CODY GIBSON;02/11/2024;26 27 27;30 30 30
CHAD ANHELIGER;CODY GIBSON;02/11/2024;26 27 27;30 30 30
MARC-ANDRE BARRIAULT;DUSTIN STOLTZFUS;02/11/2024;- -;- -
MIKE MALOTT;TREVIN GILES;02/11/2024;29 30 29;28 27 28
CHARLES JOURDAIN;VICTOR HENRY;02/11/2024;10 10 10;9 9 9
IMPA KASANGANAY;PEDRO MUNHOZ;02/11/2024;30 29 29;27 28 28
ALEX CACERES;BRENDSON RIBEIRO;02/11/2024;28 29 28;29 28 29
IASMIN LUCINDO;JASMINE JASUDAVICIUS;02/11/2024;18 19 17;19 19 20
DANIEL ZELLHUBER;ROSE NAMAJUNAS;02/11/2024;48 48 48;47 47 47
BRANDON MORENO;AMIR ALBAZI;02/11/2024;49 50 50;46 45 45
SEAN BRADY;KELVIN GASTELUM;02/12/2023;20 20 20;18 18 17
RODOLFO BELLATO;IHOR POTIERIA;02/12/2023;9 9 9;10 10 10
DRAKKAR KLOSE;JOE SOLECKI;02/12/2023;- - -;- - -
ROB FONT;DEIVESON FIGUEIREDO;02/12/2023;27 27 27;30 30 30
WELLINGTON TURMAN;JARED GOODEN;02/12/2023;10 10 10;9 9 9
CLAY GUIDA;JOAQUIM SILVA;02/12/2023;28 28 28;29 29 29
PUNAHELE SORIANO;DUSTIN STOLTZFUS;02/12/2023;9 9 10;10 10 9
VERONICA HARDY;JAMEY-LYN HORTH;02/12/2023;29 29 28;28 28 29
JALIN TURNER;KING GREEN;02/12/2023;- - -;- - -
BENEIL DARIUSH;ARMAN TSARUKYAN;02/12/2023;- - -;- - -
ZACHARY REESE;CODY BRUNDAGE;02/12/2023;- - -;- - -
MIESHA TATE;JULIA AVILA;02/12/2023;20 20 20;18 17 17
ROMAN DOLIDZE;NASSOURDINE IMAVOV;03/02/2024;44 46 47;49 48 47
RANDY BROWN;MUSLIM SALIKHOV;03/02/2024;- - -;- - -
RENATO MOICANO;DREW DOBER;03/02/2024;29 29 29;28 28 28
THOMAS PETERSEN;JAMAL POGUES;03/02/2024;28 27 28;29 30 29
LANDON QUINONES;MARQUEL MEDEROS;03/02/2024;28 28 28;29 29 29
VIVIANE ARAUJO;NATALIA SILVA;03/02/2024;28 28 28;29 29 29
JEONGYEONG LEE;BLAKE BILDER;03/02/2024;30 30 30;27 27 27
LUANA CAROLINA;JULIJA STOLIARENKO;03/02/2024;20 20 20;18 18 18
ALIASKHAB KHIZRIEY;MAKHMUD MURADOV;03/02/2024;- - -;- - -
MOLLY MCCANN;DIANA BELBITA;03/02/2024;- - -;- - -
GILBERT URBINA;CHARLES RADTKE;03/02/2024;- - -;- - -
AZAT MAKSUM;CHARLES JOHNSON;03/02/2024;28 28 28;29 29 29
THEMBA GORIMBO;PETE RODRIGUEZ;03/02/2024;- - -;- - -
KARINE SILVA;KETLEN SOUZA;03/06/2023;- - -;- - -
ABUBAKAR NURMAGOMEDOV;ELIZEU ZALESKI DOS SANTOS;03/06/2023;28 28 29;29 29 28
KAI KARA-FRANCE;AMIR ALBAZI;03/06/2023;47 47 48;48 48 47
ALEX CACERES;DANIEL PINEDA;03/06/2023;29 29 29;28 28 28
TIM ELLIOTT;VICTOR ALTAMIRANO;03/06/2023;30 29 30;27 28 27
JIM MILLER;JESSE BUTLER;03/06/2023;- - -;- - -
DA'MON BLACKSHEAR;LUAN LACERDA;03/06/2023;10 10 10;9 9 9
ELISE REED;JINH YU FREY;03/06/2023;29 29 29;28 28 28
PHILIPE LINS;MAXIM GRISHIN;03/06/2023;29 30 29;28 27 28
JAMIE MULLARKEY;MUHAMMAD NAIMOV;03/06/2023;10 10 10;9 9 9
JOHN CASTANEDA;MUIN GAFUROV;03/06/2023;29 29 29;27 27 27
DANIEL SANTOS;JOHNNY MUNOZ;03/06/2023;29 29 29;27 27 27
ANDREI ARLOVSKI;DON'TALE MAYES;03/06/2023;9 10 9;10 9 10
VIKTORIIA DUDAKOVA;SAM HUGHES;03/08/2024;30 28 28;27 29 29
TONY FERGUSON;MICHAEL CHIESA;03/08/2024;- - -;- - -
JAI HERBERT;ROLANDO BEDOYA;03/08/2024;30 30 29;27 27 28
AZAMAT MURZAKANOV;ALONZO MENIFIELD;03/08/2024;10 10 10;9 9 9
MOHAMMAD YAHYA;KAUE FERNANDES;03/08/2024;- - -;- - -
GURAM KUTATELADZE;JORDAN VUCENIC;03/08/2024;29 29 29;28 28 28
SHAMIL GAZIEV;DON'TALE MAYES;03/08/2024;30 30 30;27 27 27
MACKENZIE DERN;LOOPY GODINEZ;03/08/2024;29 29 29;28 28 28
JOEL ALVAREZ;ELVES BRENER;03/08/2024;20 20 20;18 18 18
MARLON VERA;DEIVESON FIGUEIREDO;03/08/2024;28 28 27;29 29 30
CORY SANDHAGEN;UMAR NURMAGOMEDOV;03/08/2024;45 46 46;50 49 49
SEDRIQUES DUMAS;DENIS TIULIULIN;03/08/2024;29 30 29;28 27 28
SHARA MAGOMEDOV;MICHAL OLEKSIEJCZUK;03/08/2024;30 30 29;27 27 28
BENOIT SAINT DENIS;GABRIEL MIRANDA;03/09/2022;10 10 10;8 8 8
KHALID TAHA;CRISTIAN QUINONEZ;03/09/2022;- - -;- - -
FARES ZIAM;MICHAL FIGLAK;03/09/2022;30 29 30;27 28 27
CIRYL GANE;TAI TUIVASA;03/09/2022;20 20 20;18 18 18
JOHN MAKDESSI;NASRAT HAQPARAST;03/09/2022;27 28 27;30 29 30
CHARLES JOURDAIN;NATHANIEL WOOD;03/09/2022;28 27 27;29 30 30
STEPHANIE EGGER;AILIN PEREZ;03/09/2022;10 10 10;9 9 9
ABUS MAGOMEDOV;DUSTIN STOLTZFUS;03/09/2022;- - -;- - -
NASSOURDINE IMAVOV;JOAQUIN BUCKLEY;03/09/2022;29 30 29;28 27 28
ROBERT WHITTAKER;MARVIN VETTORI;03/09/2022;30 30 29;27 27 28
ALESSIO DI CHIRICO;ROMAN KOPYLOV;03/09/2022;18 19 18;20 19 20
WILLIAM GOMIS;JARNO ERRENS;03/09/2022;29 29 29;29 28 28
MATHEUS NICOLAU;MATT SCHNELL;03/12/2022;10 10 10;9 9 9
TAI TUIVASA;SERGEI PAVLOVICH;03/12/2022;- - -;- - -
ERYK ANDERS;KYLE DAUKAUS;03/12/2022;10 10 10;9 9 9
JACK HERMANSSON;ROMAN DOLIDZE;03/12/2022;10 10 10;9 9 9
BRYAN BARBERENA;RAFAEL DOS ANJOS;03/12/2022;9 9 9;10 10 10
CLAY GUIDA;SCOTT HOLTZMAN;03/12/2022;28 29 29;29 28 28
MICHAEL JOHNSON;MARC DIAKIESE;03/12/2022;29 29 30;28 28 27
STEPHEN THOMPSON;KEVIN HOLLAND;03/12/2022;39 39 39;36 37 36
YAZMIN JAUREGUI;ISTELA NUNES;03/12/2022;9 9 9;10 10 10
ANGELA HILL;EMILY DUCOTE;03/12/2022;30 30 30;27 27 27
NIKO PRICE;PHIL ROWE;03/12/2022;18 18 18;20 20 20
MARCELO ROJO;FRANCIS MARSHALL;03/12/2022;9 9 9;10 10 10
NATAN LEVY;GENARO VALDEZ;03/12/2022;29 29 30;28 28 27
DARREN ELKINS;JONATHAN PEARCE;03/12/2022;27 27 26;30 30 30
YUSAKU KINOSHITA;ADAM FUGITT;04/02/2023;- - -;- - -
JEKA SARAGIH;ANSHUL JUBLI;04/02/2023;9 9 9;10 10 10
TOSHIOMI KAZAMA;RINYA NAKAMURA;04/02/2023;- - -;- - -
JEONGYEONG LEE;YIZHA;04/02/2023;29 27 29;28 30 28
TATSURO TAIRA;JESUS AGUILAR;04/02/2023;- - -;- - -
DOO HO CHOI;KYLE NELSON;04/02/2023;29 28 28;27 28 28
JUNYONG PARK;DENIS TIULIULIN;04/02/2023;- - -;- - -
SEUNGGUK CHOI;HYUNSUNG PARK;04/02/2023;19 19 18;19 19 20
MARCIN TYBURA;BLAGOY IVANOV;04/02/2023;29 29 30;28 28 27
DERRICK LEWIS;SERGHEI SPIVAC;04/02/2023;- - -;- - -
DA WOON JUNG;DEVIN CLARK;04/02/2023;27 27 27;30 30 30
JON JONES;CIRYL GANE;04/03/2023;- - -;- - -
VALENTINA SHEVCHENKO;ALEXA GRASSO;04/03/2023;29 29 29;28 28 28
DA'MON BLACKSHEAR;FARID BASHARAT;04/03/2023;28 28 28;29 29 29
ESTEBAN RIBOVICS;LOIK RADZHABOV;04/03/2023;28 28 28;29 29 29
JESSICA PENNE;TABATHA RICCI;04/03/2023;9 9 9;10 10 10
MANA MARTINEZ;CAMERON SAAIMAN;04/03/2023;26 28 27;29 28 28
VIVIANE ARAUJO;AMANDA RIBAS;04/03/2023;27 26 27;29 30 30
DEREK BRUNSON;DRICUS DU PLESSIS;04/03/2023;10 10 10;9 9 9
JULIAN MARQUEZ;MARC-ANDRE BARRIAULT;04/03/2023;10 10 10;9 9 9
IAN MACHADO GARRY;SONG KENAN;04/03/2023;19 19 19;19 19 19
CODY GARBRANDT;TREVIN JONES;04/03/2023;29 29 29;28 28 28
BO NICKAL;JAMIE PICKETT;04/03/2023;- - -;- - -
GEOFF NEAL;SHAVKAT RAKHMONOV;04/03/2023;18 18 18;20 20 20
MATEUSZ GAMROT;JALIN TURNER;04/03/2023;29 28 30;28 29 27
ALEXANDRE PANTOJA;STEVE ERCEG;04/05/2024;48 48 49;47 47 46
ISMAEL BONFIM;VINC PICHEL;04/05/2024;30 30 30;27 27 27
ALESSANDRO COSTA;KEVIN BORJAS;04/05/2024;10 10 10;9 9 9
ANTHONY SMITH;VITOR PETRINO;04/05/2024;- - -;- - -
JOAQUIM SILVA;DRAKKAR KLOSE;04/05/2024;28 28 28;29 29 29
ELVES BRENER;MYKTYBEK OROLBAI;04/05/2024;27 27 27;29 29 29
JOSE ALDO;JONATHAN MARTINEZ;04/05/2024;30 30 30;27 27 27
MAURICIO RUFFY;JAMIE MULLARKEY;04/05/2024;- - -;- - -
MICHEL PEREIRA;IHOR POTIERIA;04/05/2024;- - -;- - -
PAUL CRAIG;CAIO BORRALHO;04/05/2024;9 9 9;10 10 10
DIONE BARBOSA;ERNESTA KARECKAITE;04/05/2024;29 29 29;28 28 28
KAROLINA KOWALKIEWICZ;IASMIN LUCINDO;04/05/2024;27 27 27;30 30 30
JACK SHORE;JOANDERSON BRITO;04/05/2024;9 9 9;10 10 10
ALEXANDER VOLKOV;JAIRZINHO ROZENSTRUIK;04/06/2022;- - -;- - -
FELICE HERRIG;KAROLINA KOWALKIEWICZ;04/06/2022;9 9 9;10 10 10
JOE SOLECKI;ALEX DA SILVA;04/06/2022;28 29 28;27 27 28
DAN IGE;MOVSAR EVLOEV;04/06/2022;27 26 27;30 30 30
NIKLAS STOLZE;BENOIT SAINT DENIS;04/06/2022;9 9 9;10 10 10
KARINE SILVA;POLIANA BOTELHO;04/06/2022;- - -;- - -
MICHAEL TRIZANO;LUCAS ALMEIDA;04/06/2022;19 19 19;19 19 19
DAMON JACKSON;DAN ARGUETA;04/06/2022;29 30 30;28 27 27
RINAT FAKHRETDINOV;ANDREAS MICHAILIDIS;04/06/2022;30 30 30;27 26 26
ERIN BLANCHFIELD;JJ ALDRICH;04/06/2022;9 9 6;10 10 10
JEFF MOLINA;ZHALGAS ZHUMAGULOV;04/06/2022;28 29 30;29 28 27
JOHNNY MUNOZ;TONY GRAVELY;04/06/2022;- - -;- - -
ODE OSBOURNE;ZARRUKH ADASHEV;04/06/2022;- - -;- - -
ALONZO MENIFIELD;ASKAR MOZHAROV;04/06/2022;- - -;- - -
JULIAN EROSA;CHARLES JOURDAIN;04/09/2021;19 19 19;19 19 19
JACK SHORE;LIUDVIK SHOLINIAN;04/09/2021;30 30 30;27 27 27
TOM ASPINALL;SERGHEI SPIVAC;04/09/2021;- - -;- - -
DEREK BRUNSON;DARREN TILL;04/09/2021;20 20 20;18 18 18
PADDY PIMBLETT;LUIGI VENDRAMINI;04/09/2021;- - -;- - -
MOLLY MCCANN;JI YEON KIM;04/09/2021;29 29 29;28 28 28
MODESTAS BUKAUSKAS;KHALIL ROUNTREE JR.;04/09/2021;9 9 9;10 10 10
DALCHA LUNGIAMBULA;MARC-ANDRE BARRIAULT;04/09/2021;28 28 27;29 29 30
ALEX MORONO;DAVID ZAWADA;04/09/2021;30 30 30;27 27 27
GERMAINE DE RANDAMIE;JULIANNA PENA;04/10/2020;19 19 19;19 19 19
KYLER PHILLIPS;CAMERON ELSE;04/10/2020;10 10 10;9 9 9
LUIGI VENDRAMINI;JESSIN AYARI;04/10/2020;- - -;- - -
CASEY KENNEY;ALATENGHEILI;04/10/2020;30 30 30;25 27 26
LOMA LOOKBOONMEE;JINH YU FREY;04/10/2020;30 30 29;27 27 28
DEQUAN TOWNSEND;DUSKO TODOROVIC;04/10/2020;9 9 9;10 10 10
CARLOS CONDIT;COURT MCGEE;04/10/2020;30 30 30;27 27 27
JORDAN WILLIAMS;NASSOURDINE IMAVOV;04/10/2020;27 28 27;29 29 29
YORGAN DE CASTRO;CARLOS FELIPE;04/10/2020;27 28 27;30 29 30
HOLLY HOLM;IRENE ALDANA;04/10/2020;50 50 50;44 45 45
CHARLES JOURDAIN;JOSH CULIBAO;04/10/2020;28 28 30;28 29 27
ELVES BRENER;KAYNAN KRUSCHEWSKY;04/11/2023;- - -;- - -
CAIO BORRALHO;ABUS MAGOMEDOV;04/11/2023;29 29 30;28 28 27
KAUE FERNANDES;MARC DIAKIESE;04/11/2023;28 27 29;29 30 28
RINAT FAKHRETDINOV;ELIZEU ZALESKI DOS SANTOS;04/11/2023;28 28 28;29 28 28
VITOR PETRINO;MODESTAS BUKAUSKAS;04/11/2023;10 10 10;9 9 9
RODRIGO NASCIMENTO;DON'TALE MAYES;04/11/2023;30 29 29;27 28 28
GABRIEL BONFIM;NICOLAS DALBY;04/11/2023;10 10 10;8 9 9
JAILTON ALMEIDA;DERRICK LEWIS;04/11/2023;50 50 50;44 44 45
EDUARDA MOURA;MONTSERRAT CONEJO RUIZ;04/11/2023;10 10 10;8 8 9
ANGELA HILL;DENISE GOMES;04/11/2023;30 29 29;27 28 28
BRYAN BARBERENA;DARIAN WEEKS;04/12/2021;29 29 29;28 28 28
MANEL KAPE;ZHALGAS ZHUMAGULOV;04/12/2021;- - -;- - -
CHEYANNE VLISMAS;MALLORY MARTIN;04/12/2021;29 29 30;28 28 27
ALONZO MENIFIELD;WILLIAM KNIGHT;04/12/2021;28 28 28;29 29 29
ROB FONT;JOSE ALDO;04/12/2021;45 46 45;50 49 50
MAKI PITOLO;DUSKO TODOROVIC;04/12/2021;- - -;- - -
ALEX MORONO;MICKEY GALL;04/12/2021;30 30 30;27 27 27
CLAY GUIDA;LEONARDO SANTOS;04/12/2021;9 9 9;10 10 10
BRENDAN ALLEN;CHRIS CURTIS;04/12/2021;9 9 9;10 10 10
BRAD RIDDELL;RAFAEL FIZIEV;04/12/2021;18 18 18;20 20 20
JIMMY CRUTE;JAMAHAL HILL;04/12/2021;- - -;- - -
LOUIS SMOLKA;VINCE MORALES;04/12/2021;- - -;- - -
CLAUDIO PUELLES;CHRIS GRUETZEMACHER;04/12/2021;20 20 20;18 18 18
KEVIN HOLLAND;ALEX OLIVEIRA;05/03/2022;9 9 9;10 10 10
NICOLAE NEGUMEREANU;KENNEDY NZECHUKWU;05/03/2022;29 29 27;27 27 29
DEVONTE SMITH;LUDOVIT KLEIN;05/03/2022;29 28 27;28 29 30
TIM ELLIOTT;TAGIR ULANBEKOV;05/03/2022;29 29 29;28 28 28
COLBY COVINGTON;JORGE MASVIDAL;05/03/2022;49 50 50;46 44 45
MARINA RODRIGUEZ;YAN XIAONAN;05/03/2022;29 28 29;28 29 28
EDSON BARBOZA;BRYCE MITCHELL;05/03/2022;25 26 27;30 30 30
RAFAEL DOS ANJOS;RENATO MOICANO;05/03/2022;49 50 49;44 44 45
SERGHEI SPIVAC;GREG HARDY;05/03/2022;- - -;- - -
DUSTIN JACOBY;MICHAL OLEKSIEJCZUK;05/03/2022;29 29 29;28 28 28
BRIAN KELLEHER;UMAR NURMAGOMEDOV;05/03/2022;- - -;- - -
MARYNA MOROZ;MARIYA AGAPOVA;05/03/2022;10 10 10;9 9 9
JALIN TURNER;JAMIE MULLARKEY;05/03/2022;10 10 10;9 9 9
DAN ARGUETA;JEAN MATSUMOTO;05/04/2024;10 10 10;9 9 9
FRANCISCO TRINALDO;MUSLIM SALIKHOV;05/06/2021;27 27 27;30 30 30
TANNER BOSER;ILIR LATIFI;05/06/2021;28 28 29;29 29 27
DUSKO TODOROVIC;GREGORY RODRIGUES;05/06/2021;28 27 27;29 30 30
MONTANA DE LA ROSA;ARIANE DA SILVA;05/06/2021;10 10 10;9 9 9
WALT HARRIS;MARCIN TYBURA;05/06/2021;- - -;- - -
JAIRZINHO ROZENSTRUIK;AUGUSTO SAKAI;05/06/2021;- - -;- - -
ROMAN DOLIDZE;LAUREANO STAROPOLI;05/06/2021;30 30 30;27 27 27
SANTIAGO PONZINIBBIO;MIGUEL BAEZA;05/06/2021;29 29 29;28 28 28
SEAN WOODSON;YOUSSEF ZALAL;05/06/2021;28 29 29;29 28 28
MANON FIOROT;TABATHA RICCI;05/06/2021;10 10 10;9 9 9
CLAUDIO PUELLES;JORDAN LEAVITT;05/06/2021;29 29 29;28 28 28
MAKWAN AMIRKHANI;KAMUELA KIRK;05/06/2021;28 27 28;29 30 29
ALAN PATRICK;MASON JONES;05/06/2021;8 8 8;10 10 10
SEAN WOODSON;DENNIS BUZUKJA;05/08/2023;30 30 30;27 27 27
ODE OSBOURNE;ASU ALMABAYEV;05/08/2023;9 9 9;10 10 10
JESSICA ANDRADE;TATIANA SUAREZ;05/08/2023;9 9 9;10 10 10
CORY SANDHAGEN;ROB FONT;05/08/2023;50 50 50;45 45 45
DIEGO LOPES;GAVIN TUCKER;05/08/2023;- - -;- - -
DUSTIN JACOBY;KENNEDY NZECHUKWU;05/08/2023;- - -;- - -
TANNER BOSER;ALEKSA CAMUR;05/08/2023;30 30 30;27 27 27
IGNACIO BAHAMONDES;LUDOVIT KLEIN;05/08/2023;28 28 27;29 29 30
CODY DURDEN;JAKE HADLEY;05/08/2023;30 30 30;27 27 27
BILLY QUARANTILLO;DAMON JACKSON;05/08/2023;29 29 29;28 28 28
KYLER PHILLIPS;RAONI BARCELOS;05/08/2023;29 29 30;28 28 27
JEREMIAH WELLS;CARLSTON HARRIS;05/08/2023;20 20 20;18 18 17
ALISTAIR OVEREEM;AUGUSTO SAKAI;05/09/2020;39 38 38;36 37 37
OVINCE SAINT PREUX;ALONZO MENIFIELD;05/09/2020;10 10 9;9 9 10
BRIAN KELLEHER;RAY RODRIGUEZ;05/09/2020;- - -;- - -
MICHEL PEREIRA;ZELIM IMADAEV;05/09/2020;20 20 20;18 18 18
COLE SMITH;HUNTER AZURE;05/09/2020;28 28 28;29 29 29
ANDRE MUNIZ;BARTOSZ FABINSKI;05/09/2020;- - -;- - -
BRIAN KELLEHER;RAY RODRIGUEZ;05/09/2020;- - -;- - -
VIVIANE ARAUJO;MONTANA DE LA ROSA;05/09/2020;29 30 30;28 27 27
COURT MCGEE;TIM MEANS;05/10/2024;- - -;- - -
ALEX PEREIRA;KHALIL ROUNTREE JR.;05/10/2024;28 28 28;29 29 29
CARLA ESPARZA;TECIA PENNINGTON;05/10/2024;28 28 27;29 29 30
RYAN SPANN;OVINCE SAINT PREUX;05/10/2024;- - -;- - -
AUSTIN HUBBARD;ALEXANDER HERNANDEZ;05/10/2024;30 28 28;27 29 29
CESAR ALMEIDA;IHOR POTIERIA;05/10/2024;30 29 30;27 28 27
MARINA RODRIGUEZ;IASMIN LUCINDO;05/10/2024;29 28 28;28 29 29
